Fra;Til;Målenavn;Volum;Enhet;Kvalitet;Registreringstidspunkt
2026-02-28T05:00:00+01:00;2026-02-28T06:00:00+01:00;KWH 60 Forbruk;1,576;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T06:00:00+01:00;2026-02-28T07:00:00+01:00;KWH 60 Forbruk;2,190;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T07:00:00+01:00;2026-02-28T08:00:00+01:00;KWH 60 Forbruk;1,822;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T08:00:00+01:00;2026-02-28T09:00:00+01:00;KWH 60 Forbruk;2,557;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T09:00:00+01:00;2026-02-28T10:00:00+01:00;KWH 60 Forbruk;1,892;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T10:00:00+01:00;2026-02-28T11:00:00+01:00;KWH 60 Forbruk;3,636;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T11:00:00+01:00;2026-02-28T12:00:00+01:00;KWH 60 Forbruk;3,778;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T12:00:00+01:00;2026-02-28T13:00:00+01:00;KWH 60 Forbruk;2,347;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T13:00:00+01:00;2026-02-28T14:00:00+01:00;KWH 60 Forbruk;1,798;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T14:00:00+01:00;2026-02-28T15:00:00+01:00;KWH 60 Forbruk;2,086;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T15:00:00+01:00;2026-02-28T16:00:00+01:00;KWH 60 Forbruk;1,671;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T16:00:00+01:00;2026-02-28T17:00:00+01:00;KWH 60 Forbruk;2,336;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T17:00:00+01:00;2026-02-28T18:00:00+01:00;KWH 60 Forbruk;2,226;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T18:00:00+01:00;2026-02-28T19:00:00+01:00;KWH 60 Forbruk;4,169;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T19:00:00+01:00;2026-02-28T20:00:00+01:00;KWH 60 Forbruk;2,314;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T20:00:00+01:00;2026-02-28T21:00:00+01:00;KWH 60 Forbruk;1,659;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T21:00:00+01:00;2026-02-28T22:00:00+01:00;KWH 60 Forbruk;0,839;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T22:00:00+01:00;2026-02-28T23:00:00+01:00;KWH 60 Forbruk;1,369;kWh;Målt;2026-03-01T06:36:27+01:00
2026-02-28T23:00:00+01:00;2026-03-01T00:00:00+01:00;KWH 60 Forbruk;1,022;kWh;Målt;2026-03-01T06:36:27+01:00
2026-03-01T00:00:00+01:00;2026-03-01T01:00:00+01:00;KWH 60 Forbruk;0,914;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T01:00:00+01:00;2026-03-01T02:00:00+01:00;KWH 60 Forbruk;1,821;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T02:00:00+01:00;2026-03-01T03:00:00+01:00;KWH 60 Forbruk;1,262;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T03:00:00+01:00;2026-03-01T04:00:00+01:00;KWH 60 Forbruk;1,382;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T04:00:00+01:00;2026-03-01T05:00:00+01:00;KWH 60 Forbruk;2,090;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T05:00:00+01:00;2026-03-01T06:00:00+01:00;KWH 60 Forbruk;1,810;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T06:00:00+01:00;2026-03-01T07:00:00+01:00;KWH 60 Forbruk;1,886;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T07:00:00+01:00;2026-03-01T08:00:00+01:00;KWH 60 Forbruk;3,042;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T08:00:00+01:00;2026-03-01T09:00:00+01:00;KWH 60 Forbruk;1,924;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T09:00:00+01:00;2026-03-01T10:00:00+01:00;KWH 60 Forbruk;2,505;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T10:00:00+01:00;2026-03-01T11:00:00+01:00;KWH 60 Forbruk;4,078;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T11:00:00+01:00;2026-03-01T12:00:00+01:00;KWH 60 Forbruk;2,279;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T12:00:00+01:00;2026-03-01T13:00:00+01:00;KWH 60 Forbruk;1,890;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T13:00:00+01:00;2026-03-01T14:00:00+01:00;KWH 60 Forbruk;2,172;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T14:00:00+01:00;2026-03-01T15:00:00+01:00;KWH 60 Forbruk;1,494;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T15:00:00+01:00;2026-03-01T16:00:00+01:00;KWH 60 Forbruk;2,268;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T16:00:00+01:00;2026-03-01T17:00:00+01:00;KWH 60 Forbruk;1,957;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T17:00:00+01:00;2026-03-01T18:00:00+01:00;KWH 60 Forbruk;2,838;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T18:00:00+01:00;2026-03-01T19:00:00+01:00;KWH 60 Forbruk;2,321;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T19:00:00+01:00;2026-03-01T20:00:00+01:00;KWH 60 Forbruk;1,698;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T20:00:00+01:00;2026-03-01T21:00:00+01:00;KWH 60 Forbruk;1,632;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T21:00:00+01:00;2026-03-01T22:00:00+01:00;KWH 60 Forbruk;2,825;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T22:00:00+01:00;2026-03-01T23:00:00+01:00;KWH 60 Forbruk;1,174;kWh;Målt;2026-03-02T06:18:16+01:00
2026-03-01T23:00:00+01:00;2026-03-02T00:00:00+01:00;KWH 60 Forbruk;2,496;kWh;Målt;2026-03-02T06:18:16+01:00
